data,valor
29/05/2015,0.048967
01/06/2015,0.048967
02/06/2015,0.048967
03/06/2015,0.048967
05/06/2015,0.050753
08/06/2015,0.050753
09/06/2015,0.050753
10/06/2015,0.050753
11/06/2015,0.050753
12/06/2015,0.050753
15/06/2015,0.050753
16/06/2015,0.050753
17/06/2015,0.050753
18/06/2015,0.050753
19/06/2015,0.050753
22/06/2015,0.050753
23/06/2015,0.050753
24/06/2015,0.050753
25/06/2015,0.050753
26/06/2015,0.050753
29/06/2015,0.050753
30/06/2015,0.050753
01/07/2015,0.050753
02/07/2015,0.050753
03/07/2015,0.050753
06/07/2015,0.050753
07/07/2015,0.050753
08/07/2015,0.050753
09/07/2015,0.050753
10/07/2015,0.050753
13/07/2015,0.050753
14/07/2015,0.050753
15/07/2015,0.050753
16/07/2015,0.050753
17/07/2015,0.050753
20/07/2015,0.050753
21/07/2015,0.050753
22/07/2015,0.050753
23/07/2015,0.050753
24/07/2015,0.050753
27/07/2015,0.050753
28/07/2015,0.050753
29/07/2015,0.050753
30/07/2015,0.052461
31/07/2015,0.052461
03/08/2015,0.052461
04/08/2015,0.052461
05/08/2015,0.052461
06/08/2015,0.052461
07/08/2015,0.052461
10/08/2015,0.052461
11/08/2015,0.052461
12/08/2015,0.052461
13/08/2015,0.052461
14/08/2015,0.052461
17/08/2015,0.052461
18/08/2015,0.052461
19/08/2015,0.052461
20/08/2015,0.052461
21/08/2015,0.052461
24/08/2015,0.052461
25/08/2015,0.052461
26/08/2015,0.052461
27/08/2015,0.052461
28/08/2015,0.052461
31/08/2015,0.052461
01/09/2015,0.052461
02/09/2015,0.052461
03/09/2015,0.052461
04/09/2015,0.052461
08/09/2015,0.052461
09/09/2015,0.052461
10/09/2015,0.052461
11/09/2015,0.052461
14/09/2015,0.052461
15/09/2015,0.052461
16/09/2015,0.052461
17/09/2015,0.052461
18/09/2015,0.052461
21/09/2015,0.052461
22/09/2015,0.052461
23/09/2015,0.052461
24/09/2015,0.052461
25/09/2015,0.052461
28/09/2015,0.052461
29/09/2015,0.052461
30/09/2015,0.052461
01/10/2015,0.052461
02/10/2015,0.052461
05/10/2015,0.052461
06/10/2015,0.052461
07/10/2015,0.052461
08/10/2015,0.052461
09/10/2015,0.052461
13/10/2015,0.052461
14/10/2015,0.052461
15/10/2015,0.052461
16/10/2015,0.052461
19/10/2015,0.052461
20/10/2015,0.052461
21/10/2015,0.052461
22/10/2015,0.052496
23/10/2015,0.052496
26/10/2015,0.052496
27/10/2015,0.052496
